title,link,description,bloggername,bloggerlink,postdate
제 1회 2026 Rextreme(렉스트림)  한국판 하이록스의 등장... ,https://blog.naver.com/goncci/224153927863,(rextreme)렉스트림'을 개최하였습니다. 기존에 '하이록스'라는 대회가 열풍을 일으키고 있는데 그와 비슷한 종목으로 구성되어 있는데요. 저와 함께 렉스트림은 무슨 대회인지 하이록스와 무엇이... ,goncci님의 블로그,blog.naver.com/goncci,20260121
&lt;크로스핏 빅풋 장안점&gt; 렉스트림 경기준비 남산러닝,https://blog.naver.com/crossfitbigfoot/224152659195,다가온 렉스트림 경기를 위해 팀 멤버가 훈련을 했어요 재밌는 추억 만들기위해 좋은 기회로 지원해준 천칼클럽에도 감사합니다 열심히 하고 올게요! #다이어트 #크로스핏 #크로스핏빅풋장안점 #헬스... ,크로스핏 빅풋 장안점,blog.naver.com/crossfitbigfoot,20260120
2026.01.16(금) CONNECTION DAILY NEWS,https://blog.naver.com/agencyconnection/224151668164,"업계동향(Industry Insight) 01. 신세계프라퍼티, 센터필드 매각 반대 입장 표명 신세계프라퍼티는 이지스자산운용이 센터필드를 일방적으로 매각하려는 시도에 강력 반대한다. 매각은... ",에이전시커넥션,blog.naver.com/agencyconnection,20260119
2026. 1. 19.  패션 브리핑,https://blog.naver.com/fashon1/224151456616,‘마운티아’ 피트니스 레이스 렉스트림 후원 ‘마운티아’가 오는 24일 열리는 하이브리드 피트니스 레이스 대회 ‘렉스트림’ 공식 협찬사로 참여한다. 1월 24일 일산 킨텍스 8B홀에서 개최되는... ,공유경제형 패션 플랫폼 미디어패션쇼,blog.naver.com/fashon1,20260119
"도쿄&amp;도쿄소도시 가마쿠라 여행 3박4일 3,4일차",https://blog.naver.com/ezniworld/224150913456,한마리 배달시켜서먹은 방어회 머리까지 구워서 야무지게 사실 이날 렉스트림 와드도 해보아소 아주 굶주려서 많이먹은날 (여기에 러닝에 메이헴 프로그램까지) 다음날 또 방어초밥해서 먹기 남편표 계란찜... ,ezniworld의 일상 zip.,blog.naver.com/ezniworld,20260118
동대문구 장안사거리 그룹pt 재밌게 운동 할 수 있을때 하자!,https://blog.naver.com/crossfitbigfoot/224150426848,안녕하세요 빅풋 트레이닝 클럽 크로스핏 빅풋 장안점 입니다 다음주 있을 렉스트림 경기준비로 저번에 시뮬레이션을 했어요 팀전으로 나가게 됐는데 열심히 하고 오겠습니다 멤버들과 재밌는 추억 쌓기... ,크로스핏 빅풋 장안점,blog.naver.com/crossfitbigfoot,20260118
철산동그룹PT 새벽부터 밤까지 다양한 프로그램이있어... ,https://blog.naver.com/quacksalver7/224149839921,슬램볼 &amp; 버피테스트 이건 렉스트림 대회의 종목 중 하나 입니다. https://www.rextreme.kr/ko 우리모두 강해지셨습니다! 16키로 슬램볼로 운동을 수행해주셨습니다!! 이 또한 개별성의 맞게... ,KOREA_CLASS,blog.naver.com/quacksalver7,20260117
‘마운티아’ 피트니스 레이스 렉스트림 후원,https://blog.naver.com/fashon1/224148512686,‘마운티아’가 오는 24일 열리는 하이브리드 피트니스 레이스 대회 ‘렉스트림’ 공식 협찬사로 참여한다. 1월 24일 일산 킨텍스 8B홀에서 개최되는 ‘렉스트림’은 단순 체력 측정을 넘어 끝까지 완주하는... ,공유경제형 패션 플랫폼 미디어패션쇼,blog.naver.com/fashon1,20260116
REXTREME(렉스트림)룰설명/레이스순서/다옴짐/HYROX... ,https://blog.naver.com/songi9834/224146663219,렉스트림 훈련도 다옴짐에서! #신년이벤트 중입니다! 상담환영 010 **** **** 체험이벤트 중이니 부담없이 문의 주세요^^ 등록하시는 모든 분들께 선물도 증정합니다(선착순),운동하고 먹고 즐기자,blog.naver.com/songi9834,20260114
레이스' 남녀노소 즐길 수 있는 렉스트림 레이스 같이 참여해요,https://blog.naver.com/team410_official/224146352315,"‘로케트배터리 익스트림 레이스’ 입니다 출처: 홍범석 유투브 일명 ‘렉스트림’ 이라고... 일명 '렉스트림' ✔️주최: 로케트배터리(세방전지) ✔️목적: 배터리 기술을 넘어 체력, 근성, 전략을 결합한... ",가경/강서동 그룹트레이닝 센터 team410,blog.naver.com/team410_official,20260114
[철산 위무브 그룹PT] 두바이 쫀득 쿠키...,https://blog.naver.com/we_move_training1350/224143337325,안녕하세요❗️❗️❗️ 위무브 트레이닝입니다 2026년 벌써 1월 중순이 지나가고 있습니다. 두바이 쫀득 쿠키가 엄청 유행이 되면서 사람들이 많이 웨이팅도 하시고 사서 많이 드시는... ,WEMOVE TRAINING,blog.naver.com/we_move_training1350,20260112
"F45광화문, F45 운동 후기｜헬스랑 뭐가 다를까? 처음 해본... ",https://blog.naver.com/noyounmi/224138258803,"특별히 이날은 어느 일요일 한남 헤드코치님의 스트랭스 훈련 클래스였고 정말 데드리프트와 스쿼트에대해 제대로 배웠어요 하이록스, 렉스트림 등등 전국적으로 열리는 (하이록스는 잘 모르겠지만..... ",기적의 노트(함께하는 운동심리치료),blog.naver.com/noyounmi,20260107
[우당탕탕 크로스핏.]-12월. 2025년의 마지막 달. 편.,https://blog.naver.com/jbr0704/224136546566,"렉스트림 대회 와드는 이렇게 하는 거로 탕탕! 근데 코치님께서 한 번 다 재본다음에 결정하는게 좋을... 용코치님과 함께 렉스트림 대회 연습,, 12월도 열시미 했다!!!!! 2025년 안녕!!!!!!!!!!!!!!! 안녕이다!!!!!!!!!!... ",호잇,blog.naver.com/jbr0704,20260106
